Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
624877,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",593890eac6aa16000101f037,"","","","",""
624877,1,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",1,4,"","",""
624877,2,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,4,"","",""
624877,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,3,"","",""
624877,4,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
624877,1,1,original_ns,1,questionnaire,3,25,"",1,"","",2,uni,"",no,4,eng,no,1,"","","","",adv,none
624877,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624878,1,1,sil_ns,1,instructions,1,"","",1,"","","","","","","","","","",605cd2aefa163d506547bb2d,"","","","",""
624878,1,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",3,4,"","",""
624878,2,1,sil_ns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",1,1,"","",""
624878,3,2,sil_ns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,4,"","",""
624878,4,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",2,4,"","",""
624878,1,1,sil_ns,1,questionnaire,3,36,"",1,"","",4,hs,"",no,3,eng,no,4,"","","","",adv,c2
624878,1,1,sil_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624881,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",634850256fe8666bf380893b,"","","","",""
624881,1,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",2,4,"","",""
624881,2,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,3,"","",""
624881,3,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",2,3,"","",""
624881,4,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
624881,1,1,original_ns,1,questionnaire,3,26,"",1,"","",1,hs,"",no,2,eng,no,1,"","","","",adv,none
624881,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624892,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",631f9323bf10815aac6f8818,"","","","",""
624892,1,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
624892,2,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
624892,3,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
624892,4,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
624892,1,1,original_ns,1,questionnaire,3,31,"",1,"","",5,hs,"",no,4,eng,no,4,"","","","",adv,none
624892,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624942,1,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",2,2,"","",""
624942,2,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",3,4,"","",""
624942,3,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,3,"","",""
624942,4,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",1,4,"","",""
624942,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",5dc1719878cda00c6dcf5c1e,"","","","",""
624942,1,1,nopints_ns,1,questionnaire,3,55,"",1,"","",4,hs,"",no,5,eng,no,4,"","","","",adv,none
624942,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
625173,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",5efcb50255a06b097b8d5d29,"","","","",""
625173,1,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",4,2,"","",""
